listing_id,fingerprint,run_at,type,score,band,company,title,location,country,source,url,one_line_fit,angle,approach_role,asks_for,concern,agency_post,status,draft,last_touch_at
arbeitnow:remote-senior-full-stack-engineer-agentic-workflows-412321,robco|senior full stack engineer agentic workflows m f d,2026-09-23T03:40:09.948725+00:00,BUY_SIGNAL,90,high,RobCo,"Senior Full Stack Engineer, Agentic Workflows (m/f/d)",Remote,,arbeitnow,https://www.arbeitnow.com/jobs/companies/robco/remote-senior-full-stack-engineer-agentic-workflows-412321,"This role directly matches Hrishith's expertise in building production AI agent workflows, tool calling, and RAG systems using Python and TypeScript.","Highlight experience designing and deploying production GenAI and LLM-powered agent workflows, prompt engineering, and RAG architectures alongside cross-functional teams.","Head of AI, CTO, or VP of Engineering","Python, TypeScript, LLM systems, Agentic workflows, RAG pipelines, Prompt Engineering, Tool calling, MCP, Vector Databases","The company is based in Germany with a European remote focus, though listed as remote, which may require aligning with specific time zones.",0,new,,
linkedin:4470643985,nightwave ai|forward deployed engineer,2026-09-23T03:51:07.514497+00:00,BUY_SIGNAL,90,high,Nightwave AI,Forward Deployed Engineer,"San Francisco, CA",US,linkedin,https://www.linkedin.com/jobs/view/forward-deployed-engineer-at-nightwave-ai-4470643985,This Forward Deployed Engineer role at Nightwave AI in San Francisco is a direct match for Hrishith's expertise in deploying GenAI solutions and client-facing engineering.,"Highlight hands-on production experience building GenAI solutions, agent workflows, and full-stack systems directly alongside leadership at Cure Culture.","Head of AI, CTO, or VP of Engineering","Forward Deployed Engineering, GenAI, Python, TypeScript, Client-Facing Engineering, System Design",Minimal gap; the role directly aligns with his core target positioning as a Forward Deployed AI Engineer.,0,drafted,"Hi,

Saw Nightwave AI is scaling its Forward Deployed Engineering team. I build production GenAI systems, AI agent workflows, and RAG architectures directly alongside founders and engineering leads. 

At Cure Culture, I translated complex privacy-sensitive requirements into shipped GenAI functionality, building backend services, REST APIs, and data pipelines using Python, Django, PostgreSQL, and GCP with Terraform and Docker, paired with a TypeScript and React frontend. 

I work comfortably across the stack in Python, TypeScript, React, and GCP to turn rapid prototypes into robust, production-ready AI features. I’d love to chat about how I can help ship high-impact AI systems for Nightwave.

Best,

Hrishith Raj Reddy Malgireddy
GitHub: https://https://github.com/hrishith30
LinkedIn: https://linkedin.com/in/hrishith-reddy",2026-09-23T03:56:41.724280+00:00
linkedin:4468951429,austinworks|forward deployed engineer,2026-09-23T03:51:07.514497+00:00,BUY_SIGNAL,88,high,AustinWorks,Forward Deployed Engineer,"New York, NY",US,linkedin,https://www.linkedin.com/jobs/view/forward-deployed-engineer-at-austinworks-4468951429,This Forward Deployed Engineer role matches Hrishith's core expertise in building and deploying GenAI solutions and working directly alongside stakeholders.,Highlight experience as a Founding Software Developer at Cure Culture shipping production AI agents and scalable client-facing architectures.,Head of Engineering,"Forward Deployed Engineer, client-facing engineering, software development, AI solutions","None, perfectly aligns with target seniority and US location requirements.",0,drafted,"Hi,

I saw AustinWorks is scaling its Forward Deployed Engineering team and wanted to connect directly. 

As an AI-focused FDE, I specialize in bridging client requirements and technical execution by designing, building, and deploying production GenAI systems, agent workflows, and RAG architectures. 

At Cure Culture, I worked directly alongside founders to ship privacy-sensitive AI features and backend services using Python, TypeScript, React, and GCP. I build rapidly, communicate clearly with stakeholders, and own systems end-to-end from infrastructure to client-facing frontends.

I would love to discuss how I can contribute to AustinWorks. 

Best,
Hrishith Raj Reddy Malgireddy
https://www.linkedin.com/in/hrishith-reddy/
https://https://github.com/hrishith30",2026-09-23T03:54:43.457891+00:00
linkedin:4471178383,denari|founding forward deployed engineer,2026-09-24T02:47:14.189239+00:00,BUY_SIGNAL,88,high,Denari,Founding Forward Deployed Engineer,"Chicago, IL",US,linkedin,https://www.linkedin.com/jobs/view/founding-forward-deployed-engineer-at-denari-4471178383,Direct title and focus match for Hrishith's core profile as a Forward Deployed Engineer building and integrating systems directly with startup leadership.,"Highlight experience as a Founding Software Developer at Cure Culture shipping AI agents, full-stack client integrations, and scalable Python/GCP backends.",CTO / Co-Founder,"Forward deployed engineering, client integration, full-stack system implementation","Listing text is sparse and requires on-site presence in Chicago, IL.",0,drafted,"Hi,

Saw you are scaling Denari and looking for a Founding Forward Deployed Engineer. I build and ship production GenAI systems and AI agent workflows directly alongside startup leadership. 

Recently, as a Founding Software Developer at Cure Culture, I translated privacy-sensitive requirements into shipped GenAI functionality, building backend services, REST APIs, and data pipelines using Python, Django, PostgreSQL, and GCP with Terraform and Docker, alongside a modern TypeScript and React frontend. 

I’m comfortable moving fast, talking directly with stakeholders, and taking ownership of end-to-end architectures from day zero. 

Would love to chat about how I can help accelerate Denari's roadmap.

Best,
Hrishith Raj Reddy Malgireddy
https://www.linkedin.com/in/hrishith-reddy/
https://https://github.com/hrishith30",2026-09-24T02:48:14.450844+00:00
linkedin:4470667578,quadric|forward deployed engineer,2026-09-23T03:51:07.514497+00:00,BUY_SIGNAL,85,high,Quadric,Forward Deployed Engineer,United States,US,linkedin,https://www.linkedin.com/jobs/view/forward-deployed-engineer-at-quadric-4470667578,This Forward Deployed Engineer role at Quadric in the US directly matches Hrishith's target seniority and core profile as an AI-focused Forward Deployed Engineer.,"Highlight experience shipping production GenAI systems, client-facing engineering at Cure Culture, and rapid prototyping capabilities in Python, TypeScript, and cloud infrastructure.",Head of Engineering,"Forward deployed engineering, client collaboration, software development, AI systems integration","Listing description is brief, requiring validation of exact hardware/software stack alignment during initial outreach.",0,drafted,"Hi,

I saw Quadric is hiring a Forward Deployed Engineer and wanted to connect directly. 

I am an AI-focused FDE with hands-on experience building and deploying production GenAI systems, AI agent workflows, and RAG architectures alongside startup leadership and engineering teams. Recently, I built privacy-sensitive GenAI functionality for an AI-enabled mental health platform, shipping production-ready features using Python, Django, PostgreSQL, and GCP with Terraform and Docker, paired with a TypeScript and React frontend. 

I specialize in translating technical and stakeholder requirements into rapid, robust prototypes and production systems. I would love to discuss how I can contribute to Quadric's deployment engineering.

Best,

Hrishith Raj Reddy Malgireddy
https://www.linkedin.com/in/hrishith-reddy/
https://https://github.com/hrishith30",2026-09-23T05:00:54.082778+00:00
linkedin:4470667482,writer|ai engineer,2026-09-23T03:51:07.514497+00:00,BUY_SIGNAL,85,high,WRITER,AI engineer,"San Francisco, CA",US,linkedin,https://www.linkedin.com/jobs/view/ai-engineer-at-writer-4470667482,This AI Engineer role in San Francisco matches Hrishith's core expertise in building and deploying production GenAI and LLM-powered applications.,"Highlight production experience in shipping GenAI solutions, prompt engineering, and building scalable backend systems from his role at Cure Culture.",Head of AI,"AI Engineering, LLMs, Python, production deployment","High competition for AI roles in San Francisco, but Hrishith's direct GenAI agent background aligns well.",0,new,,
linkedin:4468952274,rs global services|applied ai engineer onsite sf nyc,2026-09-23T03:51:07.514497+00:00,BUY_SIGNAL,85,high,RS Global Services,Applied AI Engineer - Onsite - SF / NYC,"San Francisco, CA",US,linkedin,https://www.linkedin.com/jobs/view/applied-ai-engineer-onsite-sf-nyc-at-rs-global-services-4468952274,"This Applied AI Engineer role in the US matches Hrishith's expertise in deploying production GenAI, AI agents, and RAG architectures.","Highlight experience shipping production AI agents and scalable workflows at Cure Culture alongside modern stack proficiency in Python, TypeScript, and GCP.","Head of AI, CTO, or VP of Engineering","Applied AI, GenAI, LLMs, Python, TypeScript, Machine Learning","Role is onsite in SF/NYC, requiring relocation or local presence if not remote.",0,new,,
linkedin:4471158859,jobverse io|2027 asset wealth management machine learning engineer summer associate,2026-09-24T01:31:17.293717+00:00,BUY_SIGNAL,85,high,Jobverse.io,2027 Asset Wealth Management Machine Learning Engineer - Summer Associate,"Jersey City, NJ",US,linkedin,https://www.linkedin.com/jobs/view/2027-asset-wealth-management-machine-learning-engineer-summer-associate-at-jobverse-io-4471158859,This Machine Learning Summer Associate internship aligns with Hrishith's Master's education timeline (graduating July 2025) and core Python and ML background.,Highlight applied ML and PyTorch/Python experience from academic and research projects to deliver financial machine learning models.,"Head of Machine Learning, Head of Asset Management Technology, or Campus Recruiting Lead","Python, Machine Learning, Data Analytics, Financial Systems, Software Engineering","The listing targets a 2027 start which is slightly far out, but Hrishith's MS background fits the student associate criteria.",0,drafted,"Hi,

I’m reaching out regarding the 2027 Asset Wealth Management Machine Learning Engineer - Summer Associate role at Jobverse.io. 

As an AI-focused Forward Deployed Engineer, I design, build, and deploy production GenAI/LLM systems, AI agent workflows, and RAG architectures. My technical stack spans Python, TypeScript, React, and GCP, backed by hands-on experience translating complex stakeholder requirements into rapid, enterprise-grade prototypes. For instance, in an AI-enabled mental health platform, I built backend services, REST APIs, and data pipelines using Python, Django, PostgreSQL, and GCP with Terraform and Docker, shipping production-ready AI features directly alongside founders.

I would welcome the opportunity to bring this execution speed to Jobverse.io's ML initiatives.

Best,

Hrishith Raj Reddy Malgireddy
LinkedIn: linkedin.com/in/hrishith-malgireddy
GitHub: https://github.com/hrishith30",2026-09-24T01:36:00.563838+00:00
linkedin:4470646794,bain capital|ai engineer,2026-09-23T03:51:07.514497+00:00,BUY_SIGNAL,75,medium,Bain Capital,AI Engineer,"Boston, MA",US,linkedin,https://www.linkedin.com/jobs/view/ai-engineer-at-bain-capital-4470646794,This AI Engineer role at Bain Capital matches Hrishith's background in building production GenAI systems and working directly alongside enterprise stakeholders.,"Highlight production GenAI experience at Cure Culture, building agent workflows, and rapid system prototyping.","Head of AI, Head of Technology, or VP of Engineering","AI Engineering, GenAI, Python, LLMs, enterprise integration","The job description is sparse on specific stack details, requiring validation of exact toolchain requirements during outreach.",0,new,,
linkedin:4470683475,biospace|ai engineer,2026-09-23T04:54:15.019626+00:00,BUY_SIGNAL,75,medium,BioSpace,AI Engineer,"South San Francisco, CA",US,linkedin,https://www.linkedin.com/jobs/view/ai-engineer-at-biospace-4470683475,"This AI Engineer role matches Hrishith's background in building production GenAI systems, Python, and scalable backend integrations.",Highlight experience designing and deploying production GenAI systems and agent workflows at Cure Culture.,Head of AI or VP of Engineering,"Python, AI systems, machine learning, software engineering",The job description lacks detailed seniority requirements and specific tech stack details beyond core AI engineering.,0,new,,
